Seriation_Number	Assemblage	Parkin_Punctated	Barton/Kent/MPI	Painted	Fortune_Noded	Ranch_Incised	Walls_Engraved	Wallace_Incised	Rhodes_Incised	Vernon_Paul_Applique	Hull_Engraved
70	11-N-1	865	323	59	17	35	0	0	0	4	0
70	11-O-10	404	208	6	16	4	0	0	0	0	0

71	11-N-4	764	470	18	5	9	0	0	0	0	0
71	11-N-1	865	323	59	17	35	0	0	0	4	0
71	12-N-3	549	328	77	19	4	0	3	1	2	0

72	11-N-4	764	470	18	5	9	0	0	0	0	0
72	13-O-5	923	637	42	12	33	27	14	13	5	2
72	11-N-9	528	198	13	0	19	0	0	0	0	0

73	11-N-4	764	470	18	5	9	0	0	0	0	0
73	13-O-5	923	637	42	12	33	27	14	13	5	2
73	13-O-10	60	74	79	0	2	8	0	2	0	0

74	11-N-4	764	470	18	5	9	0	0	0	0	0
74	13-O-5	923	637	42	12	33	27	14	13	5	2
74	10-P-1	39	62	46	0	0	0	0	0	0	6

75	11-N-4	764	470	18	5	9	0	0	0	0	0
75	13-O-5	923	637	42	12	33	27	14	13	5	2
75	11-O-10	404	208	6	16	4	0	0	0	0	0

76	11-N-4	764	470	18	5	9	0	0	0	0	0
76	13-O-5	923	637	42	12	33	27	14	13	5	2
76	12-N-3	549	328	77	19	4	0	3	1	2	0

77	11-N-4	764	470	18	5	9	0	0	0	0	0
77	13-O-5	923	637	42	12	33	27	14	13	5	2
77	11-N-1	865	323	59	17	35	0	0	0	4	0

78	11-N-4	764	470	18	5	9	0	0	0	0	0
78	12-O-5	204	156	42	7	8	4	2	1	0	0
78	11-N-9	528	198	13	0	19	0	0	0	0	0

79	11-N-4	764	470	18	5	9	0	0	0	0	0
79	12-O-5	204	156	42	7	8	4	2	1	0	0
79	13-O-10	60	74	79	0	2	8	0	2	0	0

80	11-N-4	764	470	18	5	9	0	0	0	0	0
80	12-O-5	204	156	42	7	8	4	2	1	0	0
80	10-P-1	39	62	46	0	0	0	0	0	0	6

81	11-N-4	764	470	18	5	9	0	0	0	0	0
81	12-O-5	204	156	42	7	8	4	2	1	0	0
81	11-O-10	404	208	6	16	4	0	0	0	0	0

82	11-N-4	764	470	18	5	9	0	0	0	0	0
82	12-O-5	204	156	42	7	8	4	2	1	0	0
82	12-N-3	549	328	77	19	4	0	3	1	2	0

83	11-N-4	764	470	18	5	9	0	0	0	0	0
83	12-O-5	204	156	42	7	8	4	2	1	0	0
83	11-N-1	865	323	59	17	35	0	0	0	4	0

84	11-N-4	764	470	18	5	9	0	0	0	0	0
84	12-O-5	204	156	42	7	8	4	2	1	0	0
84	13-O-5	923	637	42	12	33	27	14	13	5	2

85	13-N-5	35	11	33	0	0	0	0	0	0	0
85	13-O-10	60	74	79	0	2	8	0	2	0	0
85	11-N-9	528	198	13	0	19	0	0	0	0	0

86	13-N-5	35	11	33	0	0	0	0	0	0	0
86	10-P-1	39	62	46	0	0	0	0	0	0	6
86	11-N-9	528	198	13	0	19	0	0	0	0	0

87	13-N-5	35	11	33	0	0	0	0	0	0	0
87	10-P-1	39	62	46	0	0	0	0	0	0	6
87	13-O-10	60	74	79	0	2	8	0	2	0	0

88	13-N-5	35	11	33	0	0	0	0	0	0	0
88	11-O-10	404	208	6	16	4	0	0	0	0	0
88	11-N-9	528	198	13	0	19	0	0	0	0	0

89	13-N-5	35	11	33	0	0	0	0	0	0	0
89	11-O-10	404	208	6	16	4	0	0	0	0	0
89	13-O-10	60	74	79	0	2	8	0	2	0	0

90	13-N-5	35	11	33	0	0	0	0	0	0	0
90	11-O-10	404	208	6	16	4	0	0	0	0	0
90	10-P-1	39	62	46	0	0	0	0	0	0	6

91	13-N-5	35	11	33	0	0	0	0	0	0	0
91	12-N-3	549	328	77	19	4	0	3	1	2	0
91	11-N-9	528	198	13	0	19	0	0	0	0	0

92	13-N-5	35	11	33	0	0	0	0	0	0	0
92	12-N-3	549	328	77	19	4	0	3	1	2	0
92	13-O-10	60	74	79	0	2	8	0	2	0	0

93	13-N-5	35	11	33	0	0	0	0	0	0	0
93	12-N-3	549	328	77	19	4	0	3	1	2	0
93	10-P-1	39	62	46	0	0	0	0	0	0	6

